fake_student_id,time_stamp,class,co_op,dream_career,hobby,song,ai_feels,age_months,pets,credit_hours,work_hours
1732,2023/09/09 1:34:29 PM AST,Sophomore,No,"I would love to combine data science, math, or stats with sports",I absolutely love playing lacrosse,Food for the Soul - it's murph ,"I think it's the future, and the future looks great!",238,3,18,0
1875,2023/09/09 2:34:29 PM AST,Sophomore,No,Software engineering,Chess,gettin jiggy with it,"It will be useful, but it won't change the world signicantly.",229,0,19,0
1383,2023/09/09 3:03:11 PM AST,Sophomore,No,Working in the family company in the supply chain management,Golf,The intro song of the Peaky Blinders,"It will be useful, but it won't change the world signicantly.",259,5,16,0
1522,2023/09/09 4:08:28 PM AST,Junior,Yes,Considering careers/in between. Looking to transfer towards Data Sci but still connect to business. Data Architect?,Breathing probably,break it out https://www.youtube.com/watch?v=vxXcKaLyBGE&ab_channel=TheRocketSummer-Topic,It's going to destroy us all!,251,2,16,6
1906,2023/09/09 5:37:01 PM AST,Sophomore,No,A more research-oriented path,Reading anything I find interesting,https://m.youtube.com/watch?v=dQw4w9WgXcQ&pp=ygUXbmV2ZXIgZ29ubmEgZ2l2ZSB5b3UgdXA%3D,"I think it's the future, and the future looks great!",232,0,19,0
1097,2023/09/10 10:41:25 AM AST,Junior,Yes,biotech researcher,"playing/writing music, though my current interest is woodworking",,I'm a bit worried it might be used for ill.,246,2,18,8
1889,2023/09/10 1:37:59 PM AST,Sophomore,No,Gene therapy/bioinformatics,Drawing!,"Because I'm indecisive here are my top picks: Champagne Coast by Blood Orange, Time After Time by Cyndi Lauper, Lake Shore Drive by Aliotta Haynes Jeremiah, Bitter by Worn-Tin, Natural by Shelly, and Suit and Tie by Justin Timberlake (just a personal fave), ","I think it's the future, and the future looks great!",232,1,18,9
1206,2023/09/10 1:52:04 PM AST,Junior,No,Marketing,Traveling,Future Nostalgia by Dua Lipa,I'm a bit worried it might be used for ill.,255,10,16,14
1456,2023/09/10 8:17:40 PM AST,Senior,Yes,"I don't really have a concept of a dream job, but one that works the best for me right now. That seems to be towards Biomedical Device design, and later on maybe urban design.","Biking, singing, gaming",,I'm a bit worried it might be used for ill.,257,0,17,0
1990,2023/09/10 8:26:10 PM AST,Senior,Yes,I would like to pursue a career in data science/analytics.,Besides coding I quite like chess.,https://www.youtube.com/watch?v=foE1mO2yM04,"It will be useful, but it won't change the world signicantly.",254,0,16,0
1319,2023/09/10 9:15:55 PM AST,Senior,Yes,"I am not fully certain of which industry I would go in, but being a software developer. Whether it is for embedded systems/robotics, or a full stack engineer",Watching American football and playing fantasy football,Bad Luck by Khalid,I'm a bit worried it might be used for ill.,259,1,17,0
1518,2023/09/11 12:49:10 AM AST,Sophomore,No,Entrepreneur ,Watching Sports,I’ll be there for you (Friends),"I think it's the future, and the future looks great!",227,2,17,0
1569,2023/09/11 7:08:40 AM AST,Sophomore,No,Software,Reading book,Friday 13th theme song,"I think it's the future, and the future looks great!",120,5,16,0
1250,2023/09/11 9:17:41 AM AST,Junior,No,"Unsure, my major is DS/Chem so maybe something that combines the two",Cooking/eating,,I'm a bit worried it might be used for ill.,245,0,17,0
1005,2023/09/11 11:50:14 AM AST,Junior,No,Software Engineer,Dance,All of the Lights,"I think it's the future, and the future looks great!",241,1,16,24
1430,2023/09/11 1:00:04 PM AST,Junior,No,Data Analyst,Soccer,FRIENDS,I'm a bit worried it might be used for ill.,276,3,12,0
1111,2023/09/11 8:04:25 PM AST,Sophomore,No,software engineer,gym,Santeria,It's going to destroy us all!,236,1,17,0
1944,2023/09/11 10:27:30 PM AST,Junior,No,data analyst,playing badminton and playing Apex(a computer game),phonk,"I think it's the future, and the future looks great!",246,1,17,0
1776,2023/09/11 10:40:25 PM AST,Sophomore,No,not sure yet but looking forward to coop making my choices a little more narrow. something in finance probably,crochet,spongebob squarepants theme song,It's going to destroy us all!,234,4,17,30
1499,2023/09/11 10:52:03 PM AST,Sophomore,No,,I love to dance!,,I'm a bit worried it might be used for ill.,231,3,16,0
1066,2023/09/11 11:16:16 PM AST,Sophomore,No,Software Engineer,Hiking,I'm Blue,"I think it's the future, and the future looks great!",237,3,17,0
1017,2023/09/12 12:00:03 AM AST,Senior,Yes,President of the United States,"climbing, hiking, walking around in a nice park","The ""According to Jim"" Sitcom theme song, i like the saxophone.",I'm a bit worried it might be used for ill.,260,2,16,25
1281,2023/09/12 1:39:55 PM AST,Junior,Yes,"Professional tennis player, but realistically startup founder",Tennis,Sheesh - Song by Surfaces,"I think it's the future, and the future looks great!",248,0,17,0
1177,2023/09/12 1:41:48 PM AST,Sophomore,No,Investment Banking,Oil Painting,Narcos Theme Song,"It will be useful, but it won't change the world signicantly.",253,3,16,10
1845,2023/09/12 5:25:46 PM AST,Sophomore,No,"Not sure yet, maybe something in healthcare entrepreneurship",Playing basketball or writing,"Plug's Daughter, Part 2",I'm a bit worried it might be used for ill.,231,7,18,8
1492,2023/09/13 2:35:02 PM AST,Sophomore,No,Actuary ,crafting,I'm A Mess - Bebe Rexha,I'm a bit worried it might be used for ill.,229,4,18,0
1805,2023/09/14 8:47:28 PM AST,Sophomore,No,"At this moment, my dream career would be to be a software engineer at a big tech company",Playing table tennis,Office theme song,"I think it's the future, and the future looks great!",237,2,17,10
1911,2023/09/15 1:39:14 PM AST,Sophomore,No,Computer Science/ Software engineering,Watching Succession,I am not sure but probably the James bond theme song cuz I like it.,I'm a bit worried it might be used for ill.,235,0,16,20
1369,2023/09/18 8:30:11 AM AST,Sophomore,No,software enginner,working out,Bad guy- Billie Eilish,"I think it's the future, and the future looks great!",237,35,16,0
1812,2023/09/23 4:33:17 PM AST,Sophomore,No,startup,drawing,"the big bang theory, the big bang song","I think it's the future, and the future looks great!",237,3,16,
1002,2023/09/23 5:02:07 PM AST,Sophomore,No,A job related to data science and business.,Wii Sports Boxing,Bill Nye the Science Guy,"I think it's the future, and the future looks great!",234,1,16,15
1733,2023/09/27 10:46:52 PM AST,Junior,Yes,Dream job: Pro Soccer Player / Career: Market-finance,Skiing!,Nothing Was The Same (Drake) - The whole entire album,It's going to destroy us all!,249,1,16,3
