time_stamp,class,co_op,dream_career,hobby,song,ai_feels,age_months,pets,credit_hours,work_hours
2023/09/08 8:23:23 PM AST,Junior,No,Lead Game Dev,Dance,BONVOYAGE by Dreamcatcher (https://www.youtube.com/watch?v=RPNaYj6etb8) or Lovin' Me by Fifty Fifty (https://www.youtube.com/watch?v=4PnFuEbzxos),It's going to destroy us all!,242.0,1.0,17,0.0
2023/09/09 10:57:01 AM AST,Sophomore,No,Some where in the nueroinformatics industry,Playing badminton,I'll be there for you - Friends,"I think it's the future, and the future looks great!",235.0,1.0,19,0.0
2023/09/09 12:18:05 PM AST,Sophomore,No,Data scientist or analyst,Working out,Take Two by BTS,"It will be useful, but it won't change the world signicantly.",233.0,8.0,18,12.0
2023/09/09 12:24:42 PM AST,Junior,No,Data Analyst,watching/attending sports games,Dua Lipa - Levitating,I'm a bit worried it might be used for ill.,249.0,2.0,16,0.0
2023/09/09 1:34:29 PM AST,Sophomore,No,"I would love to combine data science, math, or stats with sports",I absolutely love playing lacrosse,Food for the Soul - it's murph ,"I think it's the future, and the future looks great!",238.0,3.0,18,0.0
2023/09/09 2:34:29 PM AST,Sophomore,No,Software engineering,Chess,gettin jiggy with it,"It will be useful, but it won't change the world signicantly.",229.0,0.0,19,0.0
2023/09/09 3:03:11 PM AST,Sophomore,No,Working in the family company in the supply chain management,Golf,The intro song of the Peaky Blinders,"It will be useful, but it won't change the world signicantly.",259.0,5.0,16,0.0
2023/09/09 4:08:28 PM AST,Junior,Yes,Considering careers/in between. Looking to transfer towards Data Sci but still connect to business. Data Architect?,Breathing probably,break it out https://www.youtube.com/watch?v=vxXcKaLyBGE&ab_channel=TheRocketSummer-Topic,It's going to destroy us all!,251.0,2.0,16,6.0
2023/09/09 5:37:01 PM AST,Sophomore,No,A more research-oriented path,Reading anything I find interesting,https://m.youtube.com/watch?v=dQw4w9WgXcQ&pp=ygUXbmV2ZXIgZ29ubmEgZ2l2ZSB5b3UgdXA%3D,"I think it's the future, and the future looks great!",232.0,0.0,19,0.0
2023/09/10 10:41:25 AM AST,Junior,Yes,biotech researcher,"playing/writing music, though my current interest is woodworking",,I'm a bit worried it might be used for ill.,246.0,2.0,18,8.0
